1	"Goroka"	"Goroka"	"Papua New Guinea"	"GKA"
2	"Madang"	"Madang"	"Papua New Guinea"	"MAG"
3	"Mount Hagen"	"Mount Hagen"	"Papua New Guinea"	"HGU"
4	"Nadzab"	"Nadzab"	"Papua New Guinea"	"LAE"
5	"Port Moresby Jacksons Intl"	"Port Moresby"	"Papua New Guinea"	"POM"
6	"Wewak Intl"	"Wewak"	"Papua New Guinea"	"WWK"
7	"Narsarsuaq"	"Narssarssuaq"	"Greenland"	"UAK"
8	"Nuuk"	"Godthaab"	"Greenland"	"GOH"
9	"Sondre Stromfjord"	"Sondrestrom"	"Greenland"	"SFJ"
10	"Thule Air Base"	"Thule"	"Greenland"	"THU"
11	"Akureyri"	"Akureyri"	"Iceland"	"AEY"
12	"Egilsstadir"	"Egilsstadir"	"Iceland"	"EGS"
13	"Hornafjordur"	"Hofn"	"Iceland"	"HFN"
14	"Husavik"	"Husavik"	"Iceland"	"HZK"
15	"Isafjordur"	"Isafjordur"	"Iceland"	"IFJ"
16	"Keflavik International Airport"	"Keflavik"	"Iceland"	"KEF"
17	"Patreksfjordur"	"Patreksfjordur"	"Iceland"	"PFJ"
18	"Reykjavik"	"Reykjavik"	"Iceland"	"RKV"
19	"Siglufjordur"	"Siglufjordur"	"Iceland"	"SIJ"
20	"Vestmannaeyjar"	"Vestmannaeyjar"	"Iceland"	"VEY"
21	"Sault Ste Marie"	"Sault Sainte Marie"	"Canada"	"YAM"
22	"Winnipeg St Andrews"	"Winnipeg"	"Canada"	"YAV"
23	"Shearwater"	"Halifax"	"Canada"	"YAW"
24	"St Anthony"	"St. Anthony"	"Canada"	"YAY"
25	"Tofino"	"Tofino"	"Canada"	"YAZ"
26	"Kugaaruk"	"Pelly Bay"	"Canada"	"YBB"
27	"Baie Comeau"	"Baie Comeau"	"Canada"	"YBC"
28	"Bagotville"	"Bagotville"	"Canada"	"YBG"
29	"Baker Lake"	"Baker Lake"	"Canada"	"YBK"
30	"Campbell River"	"Campbell River"	"Canada"	"YBL"
31	"Brandon Muni"	"Brandon"	"Canada"	"YBR"
32	"Cambridge Bay"	"Cambridge Bay"	"Canada"	"YCB"
33	"Nanaimo"	"Nanaimo"	"Canada"	"YCD"
34	"Castlegar"	"Castlegar"	"Canada"	"YCG"
35	"Miramichi"	"Chatham"	"Canada"	"YCH"
36	"Charlo"	"Charlo"	"Canada"	"YCL"
37	"Kugluktuk"	"Coppermine"	"Canada"	"YCO"
38	"Coronation"	"Coronation"	"Canada"	"YCT"
39	"Chilliwack"	"Chilliwack"	"Canada"	"YCW"
40	"Clyde River"	"Clyde River"	"Canada"	"YCY"
41	"Fairmont Hot Springs"	"Coral Harbour"	"Canada"	"YZS"
42	"Dawson City"	"Dawson"	"Canada"	"YDA"
43	"Burwash"	"Burwash"	"Canada"	"YDB"
44	"Princeton"	"Princeton"	"Canada"	"YDC"
45	"Deer Lake"	"Deer Lake"	"Canada"	"YDF"
46	"Dease Lake"	"Dease Lake"	"Canada"	"YDL"
47	"Dauphin Barker"	"Dauphin"	"Canada"	"YDN"
48	"Dawson Creek"	"Dawson Creek"	"Canada"	"YDQ"
49	"Edmonton Intl"	"Edmonton"	"Canada"	"YEG"
50	"Arviat"	"Eskimo Point"	"Canada"	"YEK"
51	"Estevan"	"Estevan"	"Canada"	"YEN"
52	"Edson"	"Edson"	"Canada"	"YET"
53	"Eureka"	"Eureka"	"Canada"	"YEU"
54	"Inuvik Mike Zubko"	"Inuvik"	"Canada"	"YEV"
55	"Iqaluit"	"Iqaluit"	"Canada"	"YFB"
56	"Fredericton"	"Fredericton"	"Canada"	"YFC"
57	"Forestville"	"Forestville"	"Canada"	""
58	"Flin Flon"	"Flin Flon"	"Canada"	"YFO"
59	"Fort Resolution"	"Fort Resolution"	"Canada"	"YFR"
60	"Fort Simpson"	"Fort Simpson"	"Canada"	"YFS"
61	"Kingston"	"Kingston"	"Canada"	"YGK"
62	"La Grande Riviere"	"La Grande Riviere"	"Canada"	"YGL"
63	"Gaspe"	"Gaspe"	"Canada"	"YGP"
64	"Geraldton Greenstone Regional"	"Geraldton"	"Canada"	"YGQ"
65	"Iles De La Madeleine"	"Iles De La Madeleine"	"Canada"	"YGR"
66	"Hudson Bay"	"Hudson Bay"	"Canada"	"YHB"
67	"Dryden Rgnl"	"Dryden"	"Canada"	"YHD"
68	"Ulukhaktok Holman"	"Holman Island"	"Canada"	"YHI"
69	"Gjoa Haven"	"Gjoa Haven"	"Canada"	"YHK"
70	"Hamilton"	"Hamilton"	"Canada"	"YHM"
71	"St Hubert"	"Montreal"	"Canada"	"YHU"
72	"Hay River"	"Hay River"	"Canada"	"YHY"
73	"Halifax Intl"	"Halifax"	"Canada"	"YHZ"
74	"Atikokan Muni"	"Atikokan"	"Canada"	"YIB"
75	"Pond Inlet"	"Pond Inlet"	"Canada"	"YIO"
76	"St Jean"	"St. Jean"	"Canada"	"YJN"
77	"Stephenville"	"Stephenville"	"Canada"	"YJT"
78	"Kamloops"	"Kamloops"	"Canada"	"YKA"
79	"Waterloo"	"Waterloo"	"Canada"	"YKF"
80	"Schefferville"	"Schefferville"	"Canada"	"YKL"
81	"Kindersley"	"Kindersley"	"Canada"	"YKY"
82	"Buttonville Muni"	"Toronto"	"Canada"	"YKZ"
83	"Chapleau"	"Chapleau"	"Canada"	"YLD"
84	"Meadow Lake"	"Meadow Lake"	"Canada"	"YLJ"
85	"Lloydminster"	"Lloydminster"	"Canada"	"YLL"
86	"Alert"	"Alert"	"Canada"	"YLT"
87	"Kelowna"	"Kelowna"	"Canada"	"YLW"
88	"Mayo"	"Mayo"	"Canada"	"YMA"
89	"Moose Jaw Air Vice Marshal C M Mcewen"	"Moose Jaw"	"Canada"	"YMJ"
90	"Fort Mcmurray"	"Fort Mcmurray"	"Canada"	"YMM"
91	"Moosonee"	"Moosonee"	"Canada"	"YMO"
